FromId,ToId,CompanyName,Country,ShapeType,Percentage,Value1,Value2,Value3
0,14,"Williams, Gomez and Combs",Central African Republic,ellipse,50,214,19.27317255106857,99.94339654247365
0,20,"Williams, Gomez and Combs",Central African Republic,ellipse,90,55,21.618453430437874,110.1060676908796
0,25,"Williams, Gomez and Combs",Central African Republic,ellipse,50,267,6.780170004493732,93.0504105886116
0,45,"Williams, Gomez and Combs",Central African Republic,ellipse,50,267,15.298686583644905,93.42135280645508
0,47,"Williams, Gomez and Combs",Central African Republic,ellipse,20,161,-6.359321703188087,109.30924455329468
0,54,"Williams, Gomez and Combs",Central African Republic,ellipse,40,108,25.57620521805111,102.70476822789198
0,59,"Williams, Gomez and Combs",Central African Republic,ellipse,44.5,288,20.453642289530222,104.45955899281508
0,61,"Williams, Gomez and Combs",Central African Republic,ellipse,44.5,42,19.836367936087452,109.49631918746374
0,67,"Williams, Gomez and Combs",Central African Republic,ellipse,74.1,277,8.404539949000974,105.35222550411916
0,82,"Williams, Gomez and Combs",Central African Republic,ellipse,30,32,8.065266883479115,122.45519958647165
0,93,"Williams, Gomez and Combs",Central African Republic,ellipse,100,149,7.22397881102247,100.50680180912909
0,94,"Williams, Gomez and Combs",Central African Republic,ellipse,30,274,22.208218859085694,80.73699153096302
1,4,"Scott, Obrien and Bradley",Bulgaria,ellipse,80,291,21.436609722830426,88.51015137693051
1,8,"Scott, Obrien and Bradley",Bulgaria,ellipse,80,130,20.66830909841274,116.62446466051473
1,21,"Scott, Obrien and Bradley",Bulgaria,ellipse,60,221,19.235486400821713,113.93367918340789
1,41,"Scott, Obrien and Bradley",Bulgaria,ellipse,80,282,16.685285460359736,105.64462532360362
1,42,"Scott, Obrien and Bradley",Bulgaria,ellipse,100,17,16.533537268111047,99.36688063569935
1,49,"Scott, Obrien and Bradley",Bulgaria,ellipse,74.1,260,20.630386711399535,104.53108731171507
1,68,"Scott, Obrien and Bradley",Bulgaria,ellipse,60,237,23.083493111147256,110.79708857745177
1,74,"Scott, Obrien and Bradley",Bulgaria,ellipse,40,101,8.452769291082987,97.87226937437225
1,78,"Scott, Obrien and Bradley",Bulgaria,ellipse,100,115,12.270252537642937,108.02506255341925
1,87,"Scott, Obrien and Bradley",Bulgaria,ellipse,30,253,9.590768419464833,111.99037246840605
2,16,Craig-Stevenson,South Africa,round-rectangle,74.1,189,10.956642999439124,78.94100937868534
2,19,Craig-Stevenson,South Africa,round-rectangle,90,292,22.185158032580556,95.73848578266565
2,25,Craig-Stevenson,South Africa,round-rectangle,74.1,11,19.476180947448107,117.50935656684271
2,51,Craig-Stevenson,South Africa,round-rectangle,60,200,22.336149977249477,92.9905095888361
2,55,Craig-Stevenson,South Africa,round-rectangle,40,277,8.146567674937586,99.10853283678463
2,64,Craig-Stevenson,South Africa,round-rectangle,50,185,10.441007721855854,100.56115951717187
2,66,Craig-Stevenson,South Africa,round-rectangle,30,286,9.611344255622118,79.4720023310606
2,78,Craig-Stevenson,South Africa,round-rectangle,30,65,6.528500885020783,92.94132146695453
2,93,Craig-Stevenson,South Africa,round-rectangle,100,154,19.71681501332209,117.76544346365995
3,14,Washington Ltd,Singapore,rectangle,74.1,298,4.231603833788515,119.95909907395662
3,15,Washington Ltd,Singapore,rectangle,100,29,13.491030680879145,119.51704669312002
3,21,Washington Ltd,Singapore,rectangle,80,77,16.773503842714003,111.96831332396451
3,39,Washington Ltd,Singapore,rectangle,30,107,14.386481002178806,111.36521846997117
3,54,Washington Ltd,Singapore,rectangle,20,128,18.347624524212538,82.56347254588641
3,67,Washington Ltd,Singapore,rectangle,40,137,16.432403595335433,107.42349298936162
3,71,Washington Ltd,Singapore,rectangle,30,163,27.7819629289545,101.01980221694095
3,97,Washington Ltd,Singapore,rectangle,80,160,14.263466015575585,96.4231325794911
4,6,"Rogers, Foster and Smith",Tajikistan,rectangle,60,170,12.87391215820367,104.71919248234079
4,12,"Rogers, Foster and Smith",Tajikistan,rectangle,30,86,11.447308336643108,106.0278593095174
4,13,"Rogers, Foster and Smith",Tajikistan,rectangle,60,67,17.959186769416743,99.15097605050394
4,25,"Rogers, Foster and Smith",Tajikistan,rectangle,40,172,13.783722401952748,94.7678713195295
4,27,"Rogers, Foster and Smith",Tajikistan,rectangle,20,84,8.924712692873541,95.07383077816903
4,31,"Rogers, Foster and Smith",Tajikistan,rectangle,80,22,18.345439809324237,95.84197050444364
4,36,"Rogers, Foster and Smith",Tajikistan,rectangle,40,263,16.890234232205454,102.30519320863824
4,38,"Rogers, Foster and Smith",Tajikistan,rectangle,80,131,14.229806169063947,83.5775553858667
4,39,"Rogers, Foster and Smith",Tajikistan,rectangle,44.5,19,12.072474031468145,104.86919438714253
4,42,"Rogers, Foster and Smith",Tajikistan,rectangle,60,250,22.29124891571992,116.81728038624323
4,64,"Rogers, Foster and Smith",Tajikistan,rectangle,50,149,16.00802180255808,84.50883270936883
4,67,"Rogers, Foster and Smith",Tajikistan,rectangle,74.1,291,9.67341489746109,114.47901241038034
4,69,"Rogers, Foster and Smith",Tajikistan,rectangle,44.5,6,13.680417885380958,91.82469878628906
4,72,"Rogers, Foster and Smith",Tajikistan,rectangle,74.1,185,13.295816513548457,104.58506789091692
4,77,"Rogers, Foster and Smith",Tajikistan,rectangle,20,206,13.619279256338734,106.92164877403027
4,84,"Rogers, Foster and Smith",Tajikistan,rectangle,80,17,8.998060363716336,107.10923630338701
4,94,"Rogers, Foster and Smith",Tajikistan,rectangle,90,170,12.167161245597809,85.34939294760237
5,7,"Maxwell, Mitchell and Bowman",Liberia,rectangle,50,61,16.734496864132968,101.68659145298412
5,24,"Maxwell, Mitchell and Bowman",Liberia,rectangle,80,256,13.835433974499395,89.00110625160673
5,27,"Maxwell, Mitchell and Bowman",Liberia,rectangle,44.5,94,9.649914707784326,109.76180121506263
5,28,"Maxwell, Mitchell and Bowman",Liberia,rectangle,90,274,10.164643975921656,112.22936592002316
5,36,"Maxwell, Mitchell and Bowman",Liberia,rectangle,74.1,169,16.297462088473743,100.11587700011468
5,39,"Maxwell, Mitchell and Bowman",Liberia,rectangle,100,144,15.118902948924049,90.573777349631
5,42,"Maxwell, Mitchell and Bowman",Liberia,rectangle,44.5,225,17.936118532074847,102.80759226566609
5,43,"Maxwell, Mitchell and Bowman",Liberia,rectangle,80,176,18.574384763698006,103.14879151950265
